Date,Actual_Price,Predicted_Price,Lower_Conf,Upper_Conf
2017-02-28,45.66,41.68,30.2584585126351,53.1015414873649
2017-03-01,46.24,41.68,30.19518079026279,53.16481920973721
2017-03-02,45.94,41.68,30.132249802965937,53.22775019703406
2017-03-03,45.91,41.68,30.06965991256709,53.29034008743291
2017-03-06,45.64,41.68,30.00740563205407,53.352594367945926
2017-03-07,45.73,41.68,29.94548161996606,53.41451838003394
2017-03-08,45.98,41.68,29.8838826750449,53.4761173249551
2017-03-09,45.94,41.68,29.822603731136535,53.53739626886346
2017-03-10,45.98,41.68,29.761639852328315,53.598360147671684
2017-03-13,46.57,41.68,29.70098622830911,53.659013771690894
2017-03-14,46.37,41.68,29.640638169939763,53.71936183006024
2017-03-15,46.29,41.68,29.580591105022414,53.779408894977585
2017-03-16,46.61,41.68,29.52084057425785,53.83915942574215
2017-03-17,46.59,41.68,29.46138222738081,53.89861777261919
2017-03-20,46.77,41.68,29.402211819463695,53.957788180536305
2017-03-21,45.77,41.68,29.343325207379895,54.01667479262011
2017-03-22,46.06,41.68,29.284718346418273,54.075281653581726
2017-03-23,46.6,41.68,29.22638728704112,54.13361271295888
2017-03-24,46.4,41.68,29.168328171778064,54.191671828221935
2017-03-27,46.4,41.68,29.11053723224919,54.24946276775081
2017-03-28,46.57,41.68,29.053010786310725,54.30698921368928
2017-03-29,46.78,41.68,28.995745235317266,54.364254764682734
2017-03-30,46.62,41.68,28.938737061494727,54.42126293850527
2017-03-31,46.41,41.68,28.881982825418643,54.47801717458135
2017-04-03,46.43,41.68,28.825479163592647,54.53452083640735
2017-04-04,46.23,41.68,28.769222786122356,54.590777213877644
2017-04-05,46.38,41.68,28.71321047448006,54.646789525519935
2017-04-06,46.28,41.68,28.657439079355974,54.702560920644025
2017-04-07,46.44,41.68,28.601905518591924,54.75809448140808
2017-04-10,47.21,41.68,28.54660677519371,54.81339322480629
2017-04-11,46.79,41.68,28.491539895418452,54.868460104581544
2017-04-12,46.83,41.68,28.43670198693352,54.92329801306648
2017-04-13,46.9,41.68,28.38209021704381,54.97790978295619
2017-04-17,47.39,41.68,28.32770181098425,55.03229818901575
2017-04-18,47.56,41.68,28.27353405027467,55.08646594972533
2017-04-19,47.0,41.68,28.219584271134266,55.14041572886573
2017-04-20,47.67,41.68,28.165849862953,55.194150137047004
2017-04-21,47.52,41.68,28.11232826681752,55.24767173318248
2017-04-24,48.15,41.68,28.059016974089197,55.3009830259108
2017-04-25,48.4,41.68,28.005913525032042,55.35408647496796
2017-04-26,48.26,41.68,27.953015507488434,55.40698449251157
2017-04-27,48.36,41.68,27.900320555600562,55.45967944439944
2017-04-28,48.21,41.68,27.84782634857573,55.51217365142427
2017-05-01,48.61,41.68,27.795530609493674,55.564469390506325
2017-05-02,49.09,41.68,27.743431104154133,55.616568895845866
2017-05-03,48.54,41.68,27.691525639963096,55.6684743600369
2017-05-04,48.45,41.68,27.639812064856066,55.72018793514393
2017-05-05,48.49,41.68,27.58828826625691,55.77171173374309
2017-05-08,48.85,41.68,27.536952170070833,55.823047829929166
2017-05-09,49.49,41.68,27.485801739710148,55.87419826028985
2017-05-10,49.4,41.68,27.434834975151503,55.925165024848496
2017-05-11,49.69,41.68,27.384049912023396,55.9759500879766
2017-05-12,49.65,41.68,27.333444620722727,56.02655537927727
2017-05-15,49.86,41.68,27.283017205559318,56.07698279444068
2017-05-16,50.96,41.68,27.2327658039273,56.1272341960727
2017-05-17,49.65,41.68,27.182688585502355,56.177311414497645
2017-05-18,49.63,41.68,27.132783751463812,56.22721624853619
2017-05-19,50.18,41.68,27.083049533740734,56.276950466259265
2017-05-22,50.65,41.68,27.033484194280952,56.32651580571905
2017-05-23,50.31,41.68,26.984086024342368,56.37591397565763
2017-05-24,50.32,41.68,26.934853343805607,56.42514665619439
2017-05-25,50.6,41.68,26.885784500507228,56.47421549949277
2017-05-26,50.67,41.68,26.83687786959282,56.52312213040718
2017-05-30,50.56,41.68,26.788131852889144,56.571868147110855
2017-05-31,50.32,41.68,26.73954487829483,56.62045512170517
2017-06-01,50.65,41.68,26.691115399188718,56.66888460081128
2017-06-02,50.6,41.68,26.64284189385544,56.71715810614456
2017-06-05,50.6,41.68,26.594722864927526,56.76527713507247
2017-06-06,50.5,41.68,26.54675683884344,56.813243161156564
2017-06-07,50.55,41.68,26.498942365321078,56.86105763467892
2017-06-08,55.71,41.68,26.451278016846107,56.908721983153896
2017-06-09,54.02,41.68,26.403762388174698,56.9562376118253
2017-06-12,53.12,41.68,26.35639409585011,57.00360590414989
